E_Ha,DOS,Occupation,E_eV,E_minus_EF
0.07379979,6e-05,0.012,2.0081945905628027,-8.595613178364697
0.07479979,3e-05,0.006,2.0354059768087907,-8.568401792118708
0.07579979,9e-05,0.018,2.0626173630547786,-8.54119040587272
0.07679979,6e-05,0.012,2.089828749300767,-8.513979019626731
0.07779979,6e-05,0.012,2.1170401355467545,-8.486767633380744
0.07879979,4e-05,0.008,2.1442515217927425,-8.459556247134756
0.07979979,0.0,0.0,2.1714629080387304,-8.432344860888769
0.08079979,0.00021,0.042,2.1986742942847184,-8.405133474642781
0.08179979,6e-05,0.012,2.225885680530707,-8.377922088396792
0.08279979,6e-05,0.012,2.2530970667766947,-8.350710702150804
0.08379979,0.00012,0.024,2.2803084530226827,-8.323499315904817
0.08479979,0.00012,0.024,2.3075198392686707,-8.296287929658828
0.08579979,3e-05,0.006,2.3347312255146586,-8.26907654341284
0.08679979,6e-05,0.012,2.3619426117606466,-8.241865157166853
0.08779979,6e-05,0.012,2.3891539980066345,-8.214653770920865
0.08879979,6e-05,0.012,2.416365384252623,-8.187442384674876
0.08979979,0.00012,0.024,2.443576770498611,-8.160230998428888
0.09079979,6e-05,0.012,2.470788156744599,-8.1330196121829
0.09179979,0.00018,0.036,2.497999542990587,-8.105808225936912
0.09279979,0.0,0.0,2.5252109292365743,-8.078596839690924
0.09379979,0.00015,0.03,2.5524223154825623,-8.051385453444937
0.09479979,9e-05,0.018,2.5796337017285507,-8.024174067198949
0.09579979,0.00015,0.03,2.6068450879745386,-7.996962680952961
0.09679979,0.00013,0.026,2.6340564742205266,-7.969751294706972
0.09779979,6e-05,0.012,2.6612678604665145,-7.942539908460985
0.09879979,6e-05,0.012,2.6884792467125025,-7.915328522214997
0.09979979,6e-05,0.012,2.7156906329584904,-7.888117135969009
0.10079979,9e-05,0.018,2.742902019204479,-7.86090574972302
0.10179979,0.00012,0.024,2.770113405450467,-7.833694363477033
0.10279979,0.00024,0.048,2.7973247916964548,-7.8064829772310445
0.10379979,0.00015,0.03,2.8245361779424427,-7.779271590985056
0.10479979,6e-05,0.012,2.8517475641884307,-7.7520602047390685
0.10579979,0.00012,0.024,2.8789589504344186,-7.724848818493081
0.10679979,9e-05,0.018,2.9061703366804066,-7.697637432247093
0.10779979,0.00016,0.032,2.933381722926395,-7.670426046001104
0.10879979,9e-05,0.018,2.9605931091723825,-7.643214659755117
0.10979979,0.00036,0.072,2.9878044954183705,-7.616003273509129
0.11079979,0.00021,0.042,3.0150158816643584,-7.588791887263141
0.11179979,3e-05,0.006,3.0422272679103464,-7.561580501017152
0.11279979,0.0001,0.02,3.0694386541563343,-7.534369114771165
